school_name,district,grade_level_category,school_type_or_flag,ospi_school_code,nces_id,level,grade_span,enrollment_total
Grays Harbor Juvenile Detention,Aberdeen School District,High,Regular School (CCD),4267,530003002055,High,06-12,11
Harbor Open Doors,Aberdeen School District,High,reengagement (by name),5663,530003003784,High,10-12,49
Twin Harbors A Branch of New Market Skills Center,Aberdeen School District,High,Career and Technical School (CCD),5208,530003003334,High,09-12,31
Adna Middle/High School,Adna School District,High,Regular School (CCD),2441,530006000013,High,06-12,369
Open Doors,Anacortes School District,High,reengagement (by name),5588,530015003704,High,09-12,7
Arlington Special Educ School,Arlington School District,Other,Regular School (CCD),2277,530024003065,Other,PK-12,0
Asotin Jr Sr High,Asotin-Anatone School District,High,Regular School (CCD),2434,530028000028,High,06-12,346
Special Ed School,Auburn School District,Other,Special Education School (CCD),1915,530030002904,Other,PK-12,35
Bainbridge Special Education Services,Bainbridge Island School District,Other,Special Education School (CCD),1939,530033003113,Other,PK-12,27
Bates Technical College - Open Doors,Bates Technical College,High,regional alt / reengagement (Phase 3R SKIP),5431,530001403585,High,09-12,0
Bates Technical High School,Bates Technical College,High,statewide specialty (Phase 3R SKIP),5950,530001403082,High,09-12,343
Battle Ground High School,Battle Ground School District,High,Regular School (CCD),2415,530038000049,High,09-12,1759
Battle Ground Virtual Academy,Battle Ground School District,Other,virtual/online (by name),5749,530038003918,Other,KG-12,357
CAM Academy,Battle Ground School District,Other,Alternative School (CCD),1836,530038002782,Other,03-12,510
Homelink River,Battle Ground School District,Other,Alternative School (CCD),1875,530038002857,Other,KG-12,901
Open Doors Battle Ground,Battle Ground School District,High,reengagement (by name),5360,530038003501,High,09-12,47
Prairie High School,Battle Ground School District,High,Regular School (CCD),4104,530038001747,High,09-12,1502
Preschool Infant Other,Battle Ground School District,Other,Special Education School (CCD),4108,530038002249,Other,PK-12,0
Summit View High School,Battle Ground School District,High,Alternative School (CCD),4450,530038001069,High,09-12,319
Bellevue Open Doors Reengagement,Bellevue School District,High,reengagement (by name),5325,530039003462,High,10-12,24
Central Educational Services,Bellevue School District,Other,Regular School (CCD),5281,530039003434,Other,PK-12,66
International School,Bellevue School District,High,Alternative School (CCD),3522,530039003149,High,06-12,600
Bellingham Family Partnership Program,Bellingham School District,Other,Alternative School (CCD),5366,530042003476,Other,KG-12,258
Visions (Seamar Youth Center),Bellingham School District,High,Alternative School (CCD),1799,530042002774,High,06-12,11
Pierce County Skills Center,Bethel School District,High,Career and Technical School (CCD),5961,530048003284,High,08-12,355
Transition 18-21 Program,Bethel School District,High,Special Education School (CCD),5754,530048003923,High,12-12,58
Bickleton Elementary & High Schl,Bickleton School District,Other,Regular School (CCD),3392,530051000129,Other,KG-12,91
Blaine Re-Engagement,Blaine School District,High,reengagement (by name),5465,530057003574,High,10-12,14
Morgan Center School,Bremerton School District,High,Regular School (CCD),3883,530066001751,High,10-12,0
West Sound Technical Skills Center,Bremerton School District,High,Career and Technical School (CCD),4038,530066002081,High,11-12,8
Bridgeport Aurora High School,Bridgeport School District,High,Alternative School (CCD),1900,530072002890,High,09-12,33
Bridgeport High School,Bridgeport School District,High,Regular School (CCD),2788,530072000151,High,09-12,238
Open Doors,Burlington-Edison School District,High,reengagement (by name),5525,530078003639,High,10-12,12
CASHMERE HIGH SCHOOL,CASHMERE SCHOOL DISTRICT,High,Regular School (CCD),3268,530096000168,High,09-12,543
Camas Connect Academy,Camas School District,Other,Regular School (CCD),5702,530081003823,Other,KG-12,155
Camas High School,Camas School District,High,Regular School (CCD),4567,530081003152,High,09-12,2026
Camas School District Open Doors,Camas School District,High,reengagement (by name),5532,530081003646,High,09-12,0
Discovery High School,Camas School District,High,Regular School (CCD),5533,530081003662,High,09-12,201
Hayes Freedom High School,Camas School District,High,Regular School (CCD),5104,530081003200,High,09-12,161
Clallam Bay High & Elementary,Cape Flattery School District,Other,Regular School (CCD),3422,530084000164,Other,KG-12,100
Neah Bay Junior/ Senior High School,Cape Flattery School District,High,Regular School (CCD),3145,530084000165,High,06-12,206
ESD 113 Consortium Reengagement Program,Capital Region ESD 113,High,regional alt / reengagement (Phase 3R SKIP),5305,530001103422,High,11-12,344
Cascade High School,Cascade School District,High,Regular School (CCD),3564,530095001935,High,09-12,403
Kodiak Virtual Academy,Cascade School District,High,virtual/online (by name),5640,530095003726,High,06-12,1
Castle Rock High School,Castle Rock School District,High,Regular School (CCD),2281,530099000172,High,09-12,422
Castle Rock Virtual Academy,Castle Rock School District,Other,virtual/online (by name),5666,530099003787,Other,KG-12,13
CVSD Open Doors Programs,Central Valley School District,High,reengagement (by name),5328,530111003437,High,10-12,102
School to Life,Central Valley School District,High,Special Education School (CCD),5003,530111003012,High,12-12,38
Spokane Valley Tech Skills Center,Central Valley School District,High,Career and Technical School (CCD),5278,530111003387,High,09-12,28
Stem Academy at SVT,Central Valley School District,High,Regular School (CCD),5542,530111003657,High,09-12,190
Garrett Heyns High School,Centralia College,High,regional alt / reengagement (Phase 3R SKIP),3598,530001603208,High,08-12,0
Lewis County Jail,Chehalis School District,High,Regular School (CCD),5317,530117003464,High,09-12,2
Lewis County Juvenile Detention,Chehalis School District,High,Regular School (CCD),1559,530117002883,High,05-12,16
Cheney Open Doors,Cheney School District,High,reengagement (by name),5396,530123003507,High,07-12,10
