school_name,district,city,level_group,school_type_or_flag,ospi_school_code,nces_id,enrollment_total
Grays Harbor Juvenile Detention,Aberdeen School District,Aberdeen,High,Regular School (CCD),4267,530003002055,11
Harbor Open Doors,Aberdeen School District,Aberdeen,High,reengagement (by name),5663,530003003784,49
Twin Harbors A Branch of New Market Skills Center,Aberdeen School District,Aberdeen,High,Career and Technical School (CCD),5208,530003003334,31
Adna Middle/High School,Adna School District,Chehalis,High,Regular School (CCD),2441,530006000013,369
Open Doors,Anacortes School District,Anacortes,High,reengagement (by name),5588,530015003704,7
Arlington Special Educ School,Arlington School District,Arlington,Other,Regular School (CCD),2277,530024003065,0
Special Ed School,Auburn School District,AUBURN,Other,Special Education School (CCD),1915,530030002904,35
Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,Other,Special Education School (CCD),1939,530033003113,27
Bates Technical College - Open Doors,Bates Technical College,Tacoma,High,regional alt / reengagement (Phase 3R SKIP),5431,530001403585,0
Bates Technical High School,Bates Technical College,Tacoma,High,statewide specialty (Phase 3R SKIP),5950,530001403082,343
CAM Academy,Battle Ground School District,BATTLE GROUND,Other,Alternative School (CCD),1836,530038002782,510
Open Doors Battle Ground,Battle Ground School District,Brush Prairie,High,reengagement (by name),5360,530038003501,47
Preschool Infant Other,Battle Ground School District,Brush Prairie,Other,Special Education School (CCD),4108,530038002249,0
Bellevue Open Doors Reengagement,Bellevue School District,BELLEVUE,High,reengagement (by name),5325,530039003462,24
Central Educational Services,Bellevue School District,Bellevue,Other,Regular School (CCD),5281,530039003434,66
International School,Bellevue School District,Bellevue,High,Alternative School (CCD),3522,530039003149,600
Bellingham Family Partnership Program,Bellingham School District,Bellingham,Other,Alternative School (CCD),5366,530042003476,258
Visions (Seamar Youth Center),Bellingham School District,Bellingham,High,Alternative School (CCD),1799,530042002774,11
Pierce County Skills Center,Bethel School District,Puyallup,High,Career and Technical School (CCD),5961,530048003284,355
Transition 18-21 Program,Bethel School District,Spanaway,High,Special Education School (CCD),5754,530048003923,58
Bickleton Elementary & High Schl,Bickleton School District,Bickleton,Other,Regular School (CCD),3392,530051000129,91
Blaine Re-Engagement,Blaine School District,Bellingham,High,reengagement (by name),5465,530057003574,14
